Date,Belgrade,Serbia,Growth Factor
6.03.2020,0,1,1
7.03.2020,0,0,0
8.03.2020,0,0,0
9.03.2020,3,1,1
10.03.2020,2,3,3
11.03.2020,3,13,4.33
12.03.2020,5,6,0.46
13.03.2020,3,11,1.83
14.03.2020,5,11,1
15.03.2020,1,2,0.18
16.03.2020,1,9,4.5
17.03.2020,10,15,1.67
18.03.2020,5,17,1.13
19.03.2020,7,14,0.82
20.03.2020,8,32,2.29
21.03.2020,18,36,1.13
22.03.2020,27,51,1.42
23.03.2020,15,27,0.53
24.03.2020,14,54,2
25.03.2020,48,81,1.5
26.03.2020,43,73,0.9
27.03.2020,42,71,0.97
28.03.2020,74,131,1.85
29.03.2020,18,82,0.63
30.03.2020,10,44,0.54
31.03.2020,27,115,2.61
1.04.2020,38,160,1.39
2.04.2020,27,111,0.69
3.04.2020,75,305,2.75
4.04.2020,37,148,0.49
5.04.2020,72,284,1.92
6.04.2020,75,292,1.03
7.04.2020,64,247,0.85
8.04.2020,57,219,0.89
9.04.2020,53,201,0.92
10.04.2020,63,238,1.18
11.04.2020,74,275,1.16
12.04.2020,68,250,0.91
13.04.2020,116,424,1.7
14.04.2020,113,411,0.97
15.04.2020,112,408,0.99
16.04.2020,132,445,1.09
17.04.2020,50,372,0.84
18.04.2020,91,304,0.82
19.04.2020,62,324,1.07
20.04.2020,68,312,0.96
21.04.2020,81,260,0.83
22.04.2020,44,224,0.86
23.04.2020,28,162,0.72
24.04.2020,44,207,1.28
25.04.2020,63,296,1.43
26.04.2020,45,263,0.89
27.04.2020,41,233,0.89
28.04.2020,57,222,0.95
29.04.2020,47,227,1.02
30.04.2020,90,285,1.26
1.05.2020,40,196,0.69
2.05.2020,41,157,0.8
3.05.2020,19,102,0.65
4.05.2020,24,93,0.91
5.05.2020,17,120,1.29
6.05.2020,21,114,0.95
7.05.2020,7,57,0.5
8.05.2020,19,95,1.67
9.05.2020,14,89,0.94
